QUEST_LV_0500_20190513_000001		누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20210119_000499	[王國重建團] 歐勒夏調查員	[왕국 재건단] 오르샤 조사원				
QUEST_LV_0500_20210119_000500	我們王國重建團為了協助陷入危機的人們，正在持續調查災難現場。{nl}這裡也同樣情況相當糟糕啊。	저희 왕국 재건단이 위기에 빠진 사람들을 도울 수 있도록 재난 현장을 지속적으로 조사 중 입니다.{nl}여기도 만만치 않게 엉망이군요.				[왕국 재건단] 오르샤 조사원
QUEST_LV_0500_20210119_000501	[王國重建團] 歐勒夏醫療支援兵	[왕국 재건단] 오르샤 의료지원병				
QUEST_LV_0500_20210119_000502	雖然我們總是用盡全力去做好我們份內的事，但每當看到死去的士兵時內心總是無比傷痛。{nl}希望他們的靈魂能回到奧施莉奈女神的懷抱中。	항상 최선을 다하고 있지만 죽어가는 병사들의 모습을 볼 때면 가슴이 아려오네요.{nl}부디 그들의 영혼이 아우슈리네 여신에게 돌아갈 수 있기를 바라고 있어요.				[왕국 재건단] 오르샤 의료지원병
QUEST_LV_0500_20210119_000503	[王國重建團] 歐勒夏傳令	[왕국 재건단] 오르샤 전령				
QUEST_LV_0500_20210119_000504	在戰鬥地區為了不遺棄士兵們，就必須要持續地與本部聯繫。{nl}但要突破魔族的包圍並不是件簡單的事。	전투 지역에 병사들이 버려지지 않도록 본부와의 연락을 계속해야 합니다.{nl}그러나 마족들의 포위망을 뚫는 건 여간 쉬운일이 아니군요.				[왕국 재건단] 오르샤 전령
QUEST_LV_0500_20210119_000505	吉特涅留下的東西	길티네가 남긴 것				
QUEST_LV_0500_20210119_000506	閉上眼睛	눈을 감는다				
QUEST_LV_0500_20210119_000507	不閉上眼睛	눈을 감지 않는다				
QUEST_LV_0500_20210119_000508	陷入危機的歐勒夏	위기에 빠진 오르샤				
QUEST_LV_0500_20210119_000509	表示願意幫助歐勒夏	오르샤를 돕겠다고 한다				
QUEST_LV_0500_20210119_000510	表示還需要思考	생각이 필요하다고 한다				
QUEST_LV_0500_20210119_000511	女神的召喚	여신의 부름				
QUEST_LV_0500_20210119_000512	開始調查(1)	조사 개시(1)				
QUEST_LV_0500_20210119_000513	表示還需要一點時間	조금 더 시간이 필요하다고 한다				
QUEST_LV_0500_20210119_000514	開始調查(2)	조사 개시(2)				
QUEST_LV_0500_20210119_000515	表示在藍圖魯瑪休憩地再見	란돌루마 쉼터에서 만나자고 한다				
QUEST_LV_0500_20210119_000516	開始調查(3)	조사 개시(3)				
QUEST_LV_0500_20210119_000517	表示會前往阿達塔街道	아다타 가도로 향하겠다고 한다				
QUEST_LV_0500_20210119_000518	表示會先做其他的事情之後再來	다른 일을 먼저 하고 오겠다고 한다				
QUEST_LV_0500_20210119_000519	他們的目的是	그들의 목적은				
QUEST_LV_0500_20210119_000520	表示會調查馬爾柯斯伐木場	말코스 벌목지를 조사하겠다고 한다				
QUEST_LV_0500_20210119_000521	加橋森林的採集設施	덧댄다리 숲의 채굴 시설				
QUEST_LV_0500_20210119_000522	表示恢復歐勒夏是最優先的事，因此會一起戰鬥的	오르샤의 회복이 우선이니 함께 싸우겠다고 한다				
QUEST_LV_0500_20210119_000523	表示不想再與神們有瓜葛了。	더는 신들과 엮이고 싶지 않다고 한다				
QUEST_LV_0500_20210119_000524	為守護歐勒夏	오르샤를 수호하기 위해				
QUEST_LV_0500_20210119_000525	表示會阻止前往歐勒夏的魔族	오르샤로 가는 마족들을 저지하겠다고 한다				
QUEST_LV_0500_20210119_000526	表示會先處理其他地方的事情	다른 곳의 일을 우선 처리하겠다고 한다				
QUEST_LV_0500_20210119_000527	調查龜裂	균열 조사				
QUEST_LV_0500_20210119_000528	表示正要前往吉貝尼大道	지베니 대로로 갈 참이었다고 한다				
QUEST_LV_0500_20210119_000529	表示要先解決其他地方的事情	다른 곳의 일을 먼저 해결하겠다고 한다				
QUEST_LV_0500_20210119_000530	魔力的根源地	마력의 근원지				
QUEST_LV_0500_20210119_000531	表示想前往摩魯哥斯農場	모르꼬스 농장으로 갈 생각이라고 한다				
QUEST_LV_0500_20210119_000532	表示現在需要再整頓一下	지금은 재정비가 필요하다고 한다				
QUEST_LV_0500_20210119_000533	破壞黑色水晶	검은 수정 파괴				
QUEST_LV_0500_20210119_000534	使用拉達女神的祝福	라다 여신의 축복을 사용한다				
QUEST_LV_0500_20210119_000535	看似很危險決定停手	위험해 보이니 그만둔다				
QUEST_LV_0500_20210119_000536	其他的黑色水晶	또 다른 검은 수정				
QUEST_LV_0500_20210119_000537	調查龜裂	균열을 조사한다				
QUEST_LV_0500_20210119_000538	現在正在執行其他的事情	지금은 다른 일을 한다				
QUEST_LV_0500_20210119_000539	破壞最後的黑色水晶	마지막 검은 수정 파괴				
QUEST_LV_0500_20210119_000540	攻擊黑色水晶	검은 수정을 공격한다				
QUEST_LV_0500_20210119_000541	因為很危險而停手	위험하니 그만둔다				
QUEST_LV_0500_20210119_000542	注視者的目的	주시자의 목적				
QUEST_LV_0500_20210119_000543	表示如破壞莫提尼斯儲藏所將可給予敵人很大的打擊	머티니스 저장소를 파괴하면 적에게 큰 타격을 줄 수 있다고 한다				
QUEST_LV_0500_20210119_000544	表示要先整頓一下	우선 재정비를 하겠다고 한다				
QUEST_LV_0500_20210119_000545	佔據帕歐皮斯渡口的勢力(1)	파우피스 나루를 점거한 세력들(1)				
QUEST_LV_0500_20210119_000546	表示想聽聽帕歐皮斯渡口的情況	파우피스 나루의 상황을 듣고 싶다고 한다				
QUEST_LV_0500_20210119_000547	表示還有更緊急的事情	보다 더 급한 일이 있다고 한다				
QUEST_LV_0500_20210119_000548	佔據帕歐皮斯渡口的勢力(2)	파우피스 나루를 점거한 세력들(2)				
QUEST_LV_0500_20210119_000549	表示會去殲滅攻擊歐勒夏的魔族	오르샤를 공격한 마족들을 처치하겠다고 한다				
QUEST_LV_0500_20210119_000550	表示現在有緊急需要前往的地方	지금은 급히 가봐야 할 곳이 있다고 한다				
QUEST_LV_0500_20210119_000551	佔據帕歐皮斯渡口的勢力(3)	파우피스 나루를 점거한 세력들(3)				
QUEST_LV_0500_20210119_000552	羅迦娜的提議	라가나의 제안				
QUEST_LV_0500_20210119_000553	表示會去調查洛渾沙峭壁	로혼사 절벽을 조사하러 가겠다고 한다				
QUEST_LV_0500_20210119_000554	表示需要休息	쉬어야겠다고 한다				
QUEST_LV_0500_20210119_000555	巴以卡的提議	바이가의 제안				
QUEST_LV_0500_20210119_000556	詢問目的	목적을 묻는다				
QUEST_LV_0500_20210119_000557	默默地離開	묵묵히 자리를 떠난다				
QUEST_LV_0500_20210119_000558	詢問神樹的樹根	신수의 뿌리에 대해 묻는다				
QUEST_LV_0500_20210119_000559	莫提尼斯的下落(1)	머티니스의 행방(1)				
QUEST_LV_0500_20210119_000560	表示這期間會去調查附近的莫提尼斯龜裂	그동안 근처의 머티니스 균열을 조사하겠다고 한다				
QUEST_LV_0500_20210119_000561	表示正好有其他的事情，請他先休息	마침 다른 일이 있으니 쉬고 있으라고 한다				
QUEST_LV_0500_20210119_000562	莫提尼斯的下落(2)	머티니스의 행방(2)				
QUEST_LV_0500_20210119_000563	表示先前往喀貝斯街道	먼저 갓베스 가도로 가겠다고 한다				
QUEST_LV_0500_20210119_000564	表示不需急躁	서두를 필요가 없다고 한다				
QUEST_LV_0500_20210119_000565	莫提尼斯的下落(3)	머티니스의 행방(3)				
QUEST_LV_0500_20210119_000566	表示是好的意見	좋은 의견이라고 한다				
QUEST_LV_0500_20210119_000567	表示並不是好的想法	좋지 않은 생각이라고 한다				
QUEST_LV_0500_20210119_000568	[每週] 殲滅 - 變異型怪物	[주간] 섬멸 - 변이형 몬스터				
QUEST_LV_0500_20210119_000569	[每週] 殲滅 - 昆蟲、惡魔、植物型怪物	[주간] 섬멸 - 곤충, 악마, 식물형 몬스터				
QUEST_LV_0500_20210119_000570	[每週] 殲滅 - 野獸型怪物	[주간] 섬멸 - 야수형 몬스터				
QUEST_LV_0500_20210119_000571	[每週] 殲滅 - 大型怪物	[주간] 섬멸 - 대형 몬스터				
QUEST_LV_0500_20210119_000572	[每週] 殲滅 - 中型怪物	[주간] 섬멸 - 중형 몬스터				
QUEST_LV_0500_20210119_000573	[每週] 殲滅 - 小型怪物	[주간] 섬멸 - 소형 몬스터				
QUEST_LV_0500_20210119_000574	[每週] 殲滅 - 淨化歐勒夏	[주간] 섬멸 - 오르샤 정화				
QUEST_LV_0500_20210119_000575	[每週] 征服 - 貝勒尼凱碎片副本	[주간] 정복 - 베르니케 파편 던전				
QUEST_LV_0500_20210119_000576	[每週] 征服 - 召喚獸地下城	[주간] 정복 - 어시스터 던전				
QUEST_LV_0500_20210119_000577	[每週] 征服 - 1人遠征隊	[주간] 정복 - 1인 레이드				
QUEST_LV_0500_20210119_000578	[每週] 征服 - 傳說遠征隊	[주간] 정복 - 레전드 레이드				
QUEST_LV_0500_20210119_000579	[每週] 征服 - 每週BOSS遠征隊	[주간] 정복 - 주간 보스 레이드				
QUEST_LV_0500_20210119_000580	[每週] 先鋒 - 合作戰	[주간] 선봉 - 협동전				
QUEST_LV_0500_20210119_000581	[每週] 先鋒 - 等級地下城	[주간] 선봉 - 레벨 던전				
QUEST_LV_0500_20210119_000582	[每週] 先鋒 - 挑戰	[주간] 선봉 - 챌린지				
QUEST_LV_0500_20210119_000583	[每週] 先鋒 - 分裂特別傳點	[주간] 선봉 - 분열 특이점				
QUEST_LV_0500_20210119_000584	[每日] 收復 - 蓮帕拉沙池塘	[일일] 수복 - 렘파라사 연못				
QUEST_LV_0500_20210119_000585	[每日] 收復 - 加橋森林	[일일] 수복 - 덧댄다리 숲				
QUEST_LV_0500_20210119_000586	[每日] 收復 - 帕歐皮斯渡口	[일일] 수복 - 파우피스 나루				
QUEST_LV_0500_20210119_000587	[每日] 收復 - 伊薩巫古迪森林	[일일] 수복 - 이사우고티 숲				
QUEST_LV_0500_20210119_000588	[每日] 收復 - 奇勒提瑪斯森林	[일일] 수복 - 키르티마스 숲				
QUEST_LV_0500_20210119_000589	[每日] 回收 - 蓮帕拉沙池塘	[일일] 회수 - 렘파라사 연못				
QUEST_LV_0500_20210119_000590	[每日] 回收 - 加橋森林	[일일] 회수 - 덧댄다리 숲				
QUEST_LV_0500_20210119_000591	[每日] 回收 - 帕歐皮斯渡口	[일일] 회수 - 파우피스 나루				
QUEST_LV_0500_20210119_000592	[每日] 回收 - 伊薩巫古迪森林	[일일] 회수 - 이사우고티 숲				
QUEST_LV_0500_20210119_000593	[每日] 回收 - 奇勒提瑪斯森林	[일일] 회수 - 키르티마스 숲				
QUEST_LV_0500_20210119_000594	[反覆] 救援 - 淨化世界	[반복] 구원 - 세계 정화				
QUEST_LV_0500_20210119_000595	[反覆] 救援 - 傳說遠征隊	[반복] 구원 - 레전드 레이드				
QUEST_LV_0500_20210119_000596	[反覆] 救援 - 挑戰	[반복] 구원 - 챌린지				
QUEST_LV_0500_20210119_000597	事前準備	사전 준비				
QUEST_LV_0500_20210119_000598	尋找方法	방법을 찾아서				
QUEST_LV_0500_20210119_000599	表示有想到的人	생각나는 사람이 있다고 한다.				
QUEST_LV_0500_20210119_000600	表示不太清楚	잘 모르겠다고 한다.				
QUEST_LV_0500_20210119_000601	莫提尼斯儲藏所	머티니스 저장소				
QUEST_LV_0500_20210119_000602	表示會立刻出發前往伊薩巫古迪森林	이사우고티 숲으로 바로 출발하겠다고 한다.				
QUEST_LV_0500_20210119_000603	以夷制夷(1)	이이제이(1)				
QUEST_LV_0500_20210119_000604	表示請稍等一下	잠시만 기다려달라고 한다.				
QUEST_LV_0500_20210119_000605	以夷制夷(2)	이이제이(2)				
QUEST_LV_0500_20210119_000606	表示會去傳達之後回來	전달하고 오겠다고 한다.				
QUEST_LV_0500_20210119_000607	表示還有要做的事情	아직 할 것이 남았다고 한다.				
QUEST_LV_0500_20210119_000608	以夷制夷(3)	이이제이(3)				
QUEST_LV_0500_20210119_000609	以夷制夷(4)	이이제이(4)				
QUEST_LV_0500_20210119_000610	表示會去查看莫提尼斯儲藏所然後回來	머티니스 저장소를 살펴보고 오겠다고 한다.				
QUEST_LV_0500_20210119_000611	表示還不是時候	아직 때가 아닌 것 같다고 한다.				
QUEST_LV_0500_20210119_000612	以夷制夷(5)	이이제이(5)				
QUEST_LV_0500_20210119_000613	爆破	발파				
QUEST_LV_0500_20210119_000614	消滅的莫提尼斯(1)	소멸한 머티니스(1)				
QUEST_LV_0500_20210119_000615	消滅的莫提尼斯(2)	소멸한 머티니스(2)				
QUEST_LV_0500_20210119_000616	消滅的莫提尼斯(3)	소멸한 머티니스(3)				
QUEST_LV_0500_20210119_000617	消滅的莫提尼斯(4)	소멸한 머티니스(4)				
QUEST_LV_0500_20210119_000618	表示會去傳達	전하러 가겠다고 한다.				
QUEST_LV_0500_20210119_000619	表示在這裡還有其他的事情要做	아직 이곳에 볼일이 남았다고 한다.				
QUEST_LV_0500_20210119_000620	消滅的莫提尼斯(5)	소멸한 머티니스(5)				
QUEST_LV_0500_20210119_000621	無盡的威脅	끝나지 않은 위협				
QUEST_LV_0500_20210119_000622	王國重建團	왕국 재건단				
QUEST_LV_0500_20210119_000623	表示會後援援助王國重建團	왕국 재건단을 후원하고 돕겠다고 한다				
QUEST_LV_0500_20210119_000624	表示無法相信你們	당신들을 믿을 수 없다고 한다				
QUEST_LV_0500_20210119_000625	到拉伊瑪的聖所與拉伊瑪見面	라이마의 성소에서 라이마를 만나기				
QUEST_LV_0500_20210119_000626	請到拉伊瑪的聖所與拉伊瑪見面	라이마의 성소에서 라이마를 만나세요				
QUEST_LV_0500_20210119_000627	前進祭壇	제단으로 다가가기				
QUEST_LV_0500_20210119_000628	進入到拉伊瑪的聖所內部了。{nl}請前進祭壇。	라이마의 성소 내부로 들어왔습니다{nl}제단으로 다가가세요				
QUEST_LV_0500_20210119_000629	在白魔女森林(獨特)進行調查	하얀 마녀의 숲(유니크)에서 조사를 진행하기.	QUEST_LV_0500_20200723_000202	在白魔女森林裡進行調查。	하얀 마녀의 숲에서 조사를 진행하기.	
QUEST_LV_0500_20210119_000630	去找歐勒夏領主伊內沙黑蒙戴伊	오르샤의 영주 이네사 헤먼데일을 찾아가기				
QUEST_LV_0500_20210119_000631	在歐勒夏發生了異變，{nl}歐勒夏領主伊內沙黑蒙戴伊為了緊急請求啟示者們的協助正在尋找你。	오르샤에 이변이 일어났습니다{nl}오르샤의 영주인 이네사 헤먼데일은 계시자들을 비롯한 당신에게 급한 도움을 부탁하기 위해 당신을 찾고 있습니다				
QUEST_LV_0500_20210119_000632	在歐勒夏發生了異變，{nl}歐勒夏領主伊內沙黑蒙戴伊為了緊急請求啟示者們的協助正在尋找你。	오르샤에 이변이 일어났습니다{nl}오르샤의 영주인 이네사 헤먼데일은 계시자들을 비롯한 당신에게 급한 도움을 부탁하기 위해 당신을 찾고있습니다				
QUEST_LV_0500_20210119_000633	在歐勒夏發生了異變，{nl}歐勒夏領主伊內沙黑蒙戴伊為了緊急請求啟示者們的協助正在尋找你。	오르샤에 이변이 일어났습니다{nl}오르샤의 영주인 이네사 헤먼데일은 계시자들을 비롯, 당신에게 급한 도움을 부탁하기 위해 당신을 찾고있습니다				
QUEST_LV_0500_20210119_000634	在拉伊瑪的聖所與拉達女神見面。{nl}拉伊瑪的聖所可透過柯拉佩達、歐勒夏、佩迪米安的女神像移動。	라이마의 성소에서 라다 여신을 만나기{nl}라이마의 성소는 클라페다, 오르샤, 페디미안의 여신상으로 이동할 수 있습니다				
QUEST_LV_0500_20210119_000635	伊內沙黑蒙戴伊說在正式展開戰鬥之前有尋找你的存在，因此請你前往拉伊瑪的聖所。{nl}請利用柯拉佩達、歐勒夏、佩迪米安的女神像移動到拉伊瑪的聖所。	이네사 헤먼데일은 본격적인 전투에 앞서, 당신을 찾는 존재가 있으니 라이마의 성소로 가보라고 합니다{nl}클라페다, 오르샤, 페디미안의 여신상을 이용해 라이마의 성소로 이동하세요				
QUEST_LV_0500_20210119_000636	在蓮帕拉沙池塘尋找拉達女神	렘파라사 연못에서 라다 여신을 찾기				
QUEST_LV_0500_20210119_000637	拉達女神正在蓮帕拉沙池塘等你，{nl}請在蓮帕拉沙池塘與拉達女神對話。	라다 여신은 렘파라사 연못에서 기다리고 있습니다{nl}렘파라사 연못에서 라다 여신과 대화하세요				
QUEST_LV_0500_20210119_000638	與拉達女神對話	라다 여신과 대화하기				
QUEST_LV_0500_20210119_000639	為了在這裡必須要做的事情，請與拉達女神對話。	이곳에서 해야 할 일을 찾기 위해 라다 여신과 대화하세요				
QUEST_LV_0500_20210119_000640	殲滅周遭魔族並找來魔族收集的物品	주변의 마족을 처치하여 마족이 모으고 있는 물건을 찾아오기				
QUEST_LV_0500_20210119_000641	拉達女神請你去殲滅周遭的魔族，並查清楚魔族們在歐勒夏一帶正在收集的東西是什麼。	라다 여신은 주변의 마족을 처치하고 마족들이 오르샤 일대에서 모으고 있는 것을 알아 와 주길 부탁했습니다				
QUEST_LV_0500_20210119_000642	獲得了推測是魔族收集的不明礦石。{nl}請將不明的物質拿去給拉達女神看。	마족이 모으고 있는 물건으로 추정되는 정체불명의 광석을 획득했습니다{nl}라다 여신에게 가져가 정체불명의 물질을 보여주세요				
QUEST_LV_0500_20210119_000643	殲滅魔族後，在他們的持有品中發現了不明的礦石。{nl}是一眼就可看出非常危險的礦石。{nl}請拿去給拉達女神詢問一下來歷。	마족들을 처치하자 그들의 소지품 속에서 정체불명의 광석을 발견했습니다{nl}한 눈에 보기에도 위험해 보이는 광석입니다{nl}라다 여신에게 가져가 정체를 물어보세요				
QUEST_LV_0500_20210119_000644	殲滅%s 後獲得目標 	%s 처치 후 목표 획득				
QUEST_LV_0500_20210119_000645	向拉達女神詢問接下來要做的事	라다 여신에게 다음 해야 할 일에 관해 물어보세요				
QUEST_LV_0500_20210119_000646	在藍圖魯瑪休憩地協助拉達女神的魔族審問	란돌루마 쉼터에서 라다 여신의 마족 심문을 돕기				
QUEST_LV_0500_20210119_000647	拉達女神為揭發魔族侵略歐勒夏的計畫，打算利用魔族。{nl}請在藍圖魯瑪休憩地外圍調查魔族。	라다 여신은 오르샤를 침공한 마족들의 계획을 밝히기 위해 마족들을 이용하자고 합니다{nl}란돌루마 쉼터의 외진 곳에서 마족들을 조사하세요				
QUEST_LV_0500_20210119_000648	殲滅魔族的同時，拉達女神透過魔族的靈魂讀取了記憶。{nl}請去詢問拉達女神是否有調查出些什麼。	마족들을 처치하고 라다 여신이 마족의 영혼을 통해 기억을 읽어냈습니다{nl}라다 여신이 무엇을 알아냈는지 물어보세요				
QUEST_LV_0500_20210119_000649	拉達女神陷入了沈思。{nl}請向拉達女神詢問是否有從魔族的靈魂那裡讀取到什麼。	라다 여신이 생각에 잠겨 있습니다{nl}라다 여신에게 마족들의 영혼으로부터 읽은 기억이 무엇인지 물어보세요				
QUEST_LV_0500_20210119_000650	收集魔族的靈魂並拿去給在阿達塔街道的拉達女神	마족들의 영혼을 모아 아다타 가도에 있는 라다 여신에게 가져가기				
QUEST_LV_0500_20210119_000651	拉達女神從魔族的靈魂那裡讀取了注視者的氣息。{nl}透過注視者的經歷，在更嚴重的情況之下拉達女神需要更多的情報。{nl}如在阿達塔街道殲滅魔族，並在殘留的魔族靈魂上使用拉達女神的祝福，將可淨化魔族的靈魂，而拉達女神也可讀取靈魂的記憶。	라다 여신은 마족들의 영혼으로부터 주시자의 기운을 읽었습니다{nl}주시자가 엮여 있는 만큼 더 심각해진 상황에 라다 여신은 더 많은 정보가 필요하다고 합니다{nl}아다타 가도에서 마족을 처치하고 잔류한 마족의 영혼에 라다 여신의 축복을 사용하면, 마족의 영혼이 정화되어 라다 여신이 영혼의 기억을 읽을 수 있습니다				
QUEST_LV_0500_20210119_000652	向拉達女神詢問結果	라다 여신에게 결과를 묻기				
QUEST_LV_0500_20210119_000653	充分地淨化了魔族的靈魂並送去給拉達女神了。{nl}請去尋找拉達女神並詢問是否有查出什麼。	충분한 마족의 영혼을 정화했고 라다 여신에게 보냈습니다{nl}라다 여신에게 찾아가 알아낸 게 있는지 물어보세요				
QUEST_LV_0500_20210119_000654	請與拉達女神聊聊下一個目標。	라다 여신과 다음 목표에 관해 이야기하세요				
QUEST_LV_0500_20210119_000655	拉達女神從魔族的記憶中查出注視者的目的了。{nl}請與拉達女神聊聊下一個目標。	라다 여신은 마족의 기억으로부터 주시자의 목적을 알아냈습니다{nl}라다 여신과 다음 목표에 관해 이야기하세요				
QUEST_LV_0500_20210119_000656	在馬爾柯斯伐木場調查不明的龜裂	말코스 벌목지에서 정체불명의 균열을 조사하기				
QUEST_LV_0500_20210119_000657	拉達女神從魔族的記憶中目擊了陌生的龜裂，{nl}拉達女神已先前往加橋森林了，請在調查馬爾柯斯伐木場後，如有發現任何事情請到加橋森林向拉達女神報告。	라다 여신은 한편으로, 마족의 기억으로부터 낯선 균열을 목격했다고 한다{nl}라다 여신은 먼저 덧댄다리 숲으로 향했으니 말코스 벌목지를 조사 후 무엇이든 발견하면 덧댄다리 숲에서 라다 여신을 만나 건네주자				
QUEST_LV_0500_20210119_000658	前往加橋森林與拉達女神見面	덧댄다리 숲에서 라다 여신을 만나기				
QUEST_LV_0500_20210119_000659	在調查不明的龜裂時殲滅了出現的利普斯納巨大火甲蟲，並取下了利普斯納巨大火甲蟲頭上長出的一部分水晶。{nl}看來拿去給拉達女神會比較好。	정체불명의 균열을 조사 중 나타난 리프스나 파이어버그를 처치했고, 리프스나 파이어버그의 머리에 솟아난 수정을 일부 떼어냈습니다{nl}라다 여신에게 가져가 보여주는 게 좋겠습니다				
QUEST_LV_0500_20210119_000660	調查馬爾柯斯伐木場後獲得證據	말코스 벌목지 조사 후 증거 획득				
QUEST_LV_0500_20210119_000661	消滅襲擊的 %s	습격한 %s 처치				
QUEST_LV_0500_20210119_000662	向拉達女神聆聽加橋森林的計畫	라다 여신에게 덧댄 다리 숲에서의 계획을 듣기				
QUEST_LV_0500_20210119_000663	平安地到達加橋森林了。{nl}拉達女神已先行來到這裡查看加橋森林的情況了。{nl}請將你拿來的水晶碎片和拉達女神詢問是否看到了什麼。	무사히 덧댄다리 숲에 도착했습니다{nl}라다 여신은 앞서 이곳에 와서 덧댄다리 숲의 정황을 살핀 듯합니다{nl}당신이 가져온 수정 조각에 대한 것과 라다 여신이 무엇을 봤는지 물어보세요				
QUEST_LV_0500_20210119_000664	加橋森林似乎有比蓮帕拉沙池塘有更多的龜裂，{nl}魔族們仍從散發出光與煙氣的龜裂中採集著莫提尼斯。{nl}請與拉達女神對話。	덧댄다리 숲에는 렘파라사 연못에서 보았던 균열이 더 많아 보입니다{nl}여전히 빛과 연기를 뿜어내는 균열 속에서 마족들이 머티니스를 채굴 중이었습니다{nl}라다 여신과 대화하세요				
QUEST_LV_0500_20210119_000665	拉達女神因為過去的事情，決定與你一起執行守護歐勒夏的任務。{nl}請向拉達女神詢問計畫。	라다 여신은 과거 일로, 당신은 오르샤 수호의 임무로 함께 움직이기로 했습니다{nl}라다 여신에게 계획을 물어보세요				
QUEST_LV_0500_20210119_000666	殲滅加橋森林入口處的魔族	덧댄다리 숲 진입로의 마족 처치				
QUEST_LV_0500_20210119_000667	為了阻止加橋森林的魔族們移動到蓮帕拉沙池塘，你必須殲滅魔族。	당신은 덧댄다리 숲의 마족들이 렘파라사 연못으로 이동하는 걸 저지하기 위해 마족들을 처치해야 합니다				
QUEST_LV_0500_20210119_000668	回去找拉達女神	라다 여신에게 돌아가기				
QUEST_LV_0500_20210119_000669	消滅了一部分在加橋森林和蓮帕拉沙池塘連接通道上的魔族，{nl}請回去找拉達女神。	덧댄다리 숲과 렘파라사 연못이 이어진 통로 부근 마족들을 일부 정리했습니다{nl}라다 여신에게 돌아가세요				
QUEST_LV_0500_20210119_000670	殲滅入口處的魔族	진입로의 마족 처치				
QUEST_LV_0500_20210119_000671	整頓了前往蓮帕拉沙池塘的入口。{nl}現在你必須要掃蕩加橋森林的魔族，並向拉達女神詢問將來是否要同路前行。	렘파라사 연못으로 가는 진입로는 정리했습니다{nl}당신은 이제 덧댄 다리 숲의 마족들을 소탕해야 하며, 라다 여신에게 가는 길이 같을지 이야기해 보세요				
QUEST_LV_0500_20210119_000672	調查吉貝尼大道的莫提尼斯龜裂	지베니 대로의 머티니스 균열 조사하기				
QUEST_LV_0500_20210119_000673	拉達女神為了回收莫提尼斯前往了吉貝尼大道。{nl}你為了進入加橋森林更深處也同樣必須經過那裡。{nl}正好那裡有莫提尼斯龜裂，有調查的必要性。	라다 여신은 머티니스 회수를 위해 지베니 대로로 향한다고 합니다{nl}당신 역시, 덧댄다리 숲의 깊은 곳으로 들어가기 위해서는 그곳을 지나야만 합니다{nl}마침 그곳에는 머티니스 균열이 있으니 조사할 가치가 있습니다				
QUEST_LV_0500_20210119_000674	在吉貝尼大道上方與拉達女神見面	지베니 대로 위쪽에서 라다 여신을 만나기				
QUEST_LV_0500_20210119_000675	調查了莫提尼斯龜裂。{nl}正好拉達女神也到達了吉貝尼大道上方。{nl}請去見拉達女神。	머티니스 균열을 조사했습니다{nl}마침 라다 여신도 지베니 대로 위쪽에 도착했습니다{nl}라다 여신을 만나세요				
QUEST_LV_0500_20210119_000676	向拉達女神詢問魔力的來歷	라다 여신에게 마력의 정체에 관해 묻기				
QUEST_LV_0500_20210119_000677	拉達女神說融化龜裂的魔力來源是注視者的魔力。{nl}請繼續聆聽拉達女神。	라다 여신은 균열을 녹이고 있는 마력의 정체가 주시자의 마력이라고 했습니다{nl}라다 여신의 이야기를 더 들어보세요				
QUEST_LV_0500_20210119_000678	越過布維彼德之橋在摩魯哥斯農場尋找魔力的根源地	부뷜비떼 다리를 건너 모르꼬스 농장에서 마력의 근원지를 찾기				
QUEST_LV_0500_20210119_000679	拉達女神為了阻止莫提尼斯的採集，表示需要找出魔力的根源地並破壞它。{nl}利用拉達女神降下的祝福可找到魔力的根源地。	라다 여신은 머티니스 채굴을 막기 위해 마력의 근원지를 찾아 파괴할 필요가 있다고 합니다{nl}라다 여신이 떨어뜨린 축복으로 마력의 근원지를 찾을 수 있을 듯합니다				
QUEST_LV_0500_20210119_000680	確認注視者的黑色水晶	주시자의 검은 수정을 확인하기				
QUEST_LV_0500_20210119_000681	利用拉達女神的祝福可找到注視者的黑色水晶。{nl}請查看是否可破壞。	라다 여신의 축복을 이용해 주시자의 검은 수정을 찾을 수 있었습니다{nl}파괴가 가능할지 살펴보세요				
QUEST_LV_0500_20210119_000682	破壞注視者的黑色水晶	주시자의 검은 수정을 파괴하기				
QUEST_LV_0500_20210119_000683	使用拉達女神的祝福破壞黑色水晶	라다 여신의 축복을 사용해 검은 수정을 파괴하기				
QUEST_LV_0500_20210119_000684	確認莫提尼斯龜裂	머티니스 균열을 확인하기				
QUEST_LV_0500_20210119_000685	拉達女神的祝福成功地破壞了注視者的黑色水晶。{nl}請確認莫提尼斯龜裂是否有凝固。	라다 여신의 축복이 주시자의 검은 수정을 파괴하는 데 성공했습니다{nl}머티니스 균열이 굳었는지 확인해보세요				
QUEST_LV_0500_20210119_000686	再次調查莫提尼斯龜裂	머티니스 균열을 다시 조사하기				
QUEST_LV_0500_20210119_000687	雖在摩魯哥斯農場破壞了注視者的黑色水晶，但吉貝尼大道中的莫提尼斯龜裂仍沸騰著。{nl}看來一定還有其他的黑色水晶。{nl}請調查莫提尼斯龜裂以獲得線索。	모르꼬스 농장에서 주시자의 검은 수정을 파괴했지만 지베니 대로의 머티니스 균열은 여전히 끓고 있었습니다{nl}다른 검은 수정이 있는 게 분명합니다{nl}머티니스 균열을 조사해 단서를 얻으세요				
